date,source_type,object_name,action_type,priority,impressions,clicks,ctr,avg_position,action_note
2026-03-13,DIRECT,Direct,reduce_cpl,high,,,,,"Дорогой лид: проверить сегменты, оффер, креативы, поисковые фразы и посадочную"
2026-03-13,SEO,лечение онлайн зависимости от игр,rewrite_snippet,high,131,1,0.0076,5.75,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,лагерь для подростков,rewrite_snippet,high,85,0,0.0000,6.85,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,лагеря в подмосковье на лето,rewrite_snippet,high,75,0,0.0000,17.24,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,детский лагерь в подмосковье на лето 2026,rewrite_snippet,high,145,1,0.0069,10.18,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,летний детский лагерь,rewrite_snippet,high,70,1,0.0143,2.99,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,детский лагерь,rewrite_snippet,high,60,0,0.0000,9.53,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,летние лагеря,rewrite_snippet,high,78,0,0.0000,5.87,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,лечение телефонной зависимости у подростков,rewrite_snippet,high,50,0,0.0000,4.48,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,игровая зависимость от компьютерных игр лечение v-gotlib.ru,rewrite_snippet,high,48,0,0.0000,3.90,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,зависимости от телефона у подростков лечение,rewrite_snippet,high,46,0,0.0000,3.67,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,айда кодить,rewrite_snippet,high,42,0,0.0000,10.60,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
2026-03-13,SEO,работа с зависимыми подростками,rewrite_snippet,high,41,0,0.0000,5.66,"Высокие показы и низкий CTR: переписать title/description, проверить интент и релевантность посадочной"
